"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"00764B","群益25年美債","櫃","05/02","","33.5","-0.14","-0.42","603","20.2","33.64","33.53","33.55","33.44","0.33","","","    ","    ","    ","    "
"00765B","群益中國政金債","櫃","05/02","","39.58","+0.04","+0.1","126","4.98","39.54","39.61","39.62","39.58","0.1","","","    ","    ","    ","    "
"00768B","復華20年美債","櫃","05/02","","56.7","-0.2","-0.35","165","9.36","56.9","56.9","56.9","56.65","0.44","","","    ","    ","    ","    "
"00770","國泰北美科技","市","05/02","","29.55","+0.28","+0.96","203","6","29.27","29.3","29.59","29.3","0.99","","","    ","    ","    ","    "
"00771","元大US高息特別股","市","05/02","","16.07","+0.01","+0.06","20","0.32","16.06","16.05","16.08","16.03","0.31","","","    ","    ","    ","    "
"00772B","中信高評級公司債","櫃","05/02","","35.73","-0.18","-0.5","34,051","1,217","35.91","35.8","35.8","35.7","0.28","","","    ","    ","    ","    "
"00773B","中信優先金融債","櫃","05/02","","35.66","-0.24","-0.67","9,824","351","35.9","35.78","35.78","35.63","0.42","","","    ","    ","    ","    "
"00775B","新光投等債15+","市","05/02","","33.89","-0.19","-0.56","54","1.83","34.08","33.94","33.94","33.89","0.15","","","    ","    ","    ","    "
"00777B","凱基AAA至A公司債","櫃","05/02","","35.19","-0.4","-1.12","115","4.05","35.59","35.42","35.43","35.19","0.67","","","    ","    ","    ","    "
"00778B","凱基金融債20+","櫃","05/02","","35.05","-0.31","-0.88","126","4.42","35.36","35.24","35.24","35.05","0.54","","","    ","    ","    ","    "
"00779B","凱基美債25+","櫃","05/02","","33.62","-0.2","-0.59","116","3.9","33.82","33.79","33.79","33.54","0.74","","","    ","    ","    ","    "
"00780B","國泰A級金融債","櫃","05/02","","35.89","-0.02","-0.06","425","15.3","35.91","35.9","35.98","35.89","0.25","","","    ","    ","    ","    "
"00781B","國泰A級科技債","櫃","05/02","","33.15","-0.24","-0.72","140","4.64","33.39","33.17","33.17","33.11","0.18","","","    ","    ","    ","    "
"00782B","國泰A級公用債","櫃","05/02","","33.16","-0.13","-0.39","593","19.7","33.29","33.24","33.49","33.15","1.02","","","    ","    ","    ","    "
"00783","富邦中証500","市","05/02","","21.23","+0.08","+0.38","462","9.81","21.15","21.29","21.3","21.17","0.61","","","    ","    ","    ","    "
"00784B","富邦中國投等債","櫃","05/02","","36.36","+0.06","+0.17","100","3.64","36.3","36.36","36.36","36.36","0","","","    ","    ","    ","    "
"00785B","富邦金融投等債","櫃","05/02","","34.22","-0.22","-0.64","114","3.9","34.44","34.25","34.25","34.21","0.12","","","    ","    ","    ","    "
"00786B","元大10年IG銀行債","櫃","05/02","","33.42","-0.19","-0.57","289","9.66","33.61","33.37","33.42","33.37","0.15","","","    ","    ","    ","    "
"00787B","元大10年IG醫療債","櫃","05/02","","35.08","-0.09","-0.26","229","8.03","35.17","35.1","35.1","35.06","0.11","","","    ","    ","    ","    "
"00788B","元大10年IG電能債","櫃","05/02","","32.21","-0.13","-0.4","232","7.48","32.34","32.19","32.24","32.19","0.15","","","    ","    ","    ","    "
"00789B","復華公司債A3","櫃","05/02","","52.15","-0.45","-0.86","758","39.6","52.6","52.5","52.5","52.15","0.67","","","    ","    ","    ","    "
"00790B","復華次順位金融債","櫃","05/02","","52","-0.35","-0.67","100","5.2","52.35","52","52","52","0","","","    ","    ","    ","    "
"00791B","復華信用債1-5","櫃","05/02","","52.65","-0.1","-0.19","114","6","52.75","52.45","52.65","52.45","0.38","","","    ","    ","    ","    "
"00792B","群益A級公司債","櫃","05/02","","33.67","-0.26","-0.77","141","4.75","33.93","33.78","33.78","33.66","0.35","","","    ","    ","    ","    "
"00793B","群益AAA-A醫療債","櫃","05/02","","33.66","-0.13","-0.38","119","4.02","33.79","33.73","33.73","33.63","0.3","","","    ","    ","    ","    "
"00794B","群益7+中國政金債","櫃","05/02","","40.5","+0.16","+0.4","149","6.02","40.34","40.35","40.52","40.35","0.42","","","    ","    ","    ","    "
"00795B","中信美國公債20年","櫃","05/02","","32.52","-0.25","-0.76","7,928","258","32.77","32.66","32.66","32.51","0.46","","","    ","    ","    ","    "
"00799B","國泰A級醫療債","櫃","05/02","","33.77","-0.26","-0.76","155","5.24","34.03","33.9","33.92","33.77","0.44","","","    ","    ","    ","    "
"00830","國泰費城半導體","市","05/02","","27.13","+0.68","+2.57","5,682","153","26.45","26.9","27.13","26.88","0.95","","","    ","    ","    ","    "
"00831B","新光美債1-3","櫃","05/02","","37.7","+0.01","+0.03","2","0.08","37.69","37.7","37.7","37.7","0","","","    ","    ","    ","    "
"00834B","第一金金融債10+","櫃","05/02","","33.71","-0.04","-0.12","131","4.42","33.75","33.95","33.95","33.7","0.74","","","    ","    ","    ","    "
"00836B","永豐10年A公司債","櫃","05/02","","30.88","-0.3","-0.96","217","6.71","31.18","30.92","30.92","30.88","0.13","","","    ","    ","    ","    "
"00840B","凱基IG精選15+","櫃","05/02","","32.1","-0.25","-0.77","100","3.21","32.35","32.1","32.1","32.1","0","","","    ","    ","    ","    "
"00841B","凱基AAA-AA公司債","櫃","05/02","","32.15","-0.36","-1.11","126","4.05","32.51","32.4","32.4","32.14","0.8","","","    ","    ","    ","    "
"00842B","台新美元銀行債","櫃","05/02","","32.15","-0.05","-0.16","104","3.35","32.2","32.22","32.22","32.14","0.25","","","    ","    ","    ","    "
"00844B","新光15年IG金融債","櫃","05/02","","31.9","-0.15","-0.47","2","0.06","32.05","31.9","31.9","31.9","0","","","    ","    ","    ","    "
"00845B","富邦新興投等債","櫃","05/02","","31.65","+0.07","+0.22","100","3.16","31.58","31.65","31.65","31.65","0","","","    ","    ","    ","    "
"00846B","富邦歐洲銀行債","櫃","05/02","","33.26","+0.02","+0.06","100","3.33","33.24","33.26","33.26","33.26","0","","","    ","    ","    ","    "
"00847B","中信美國市政債","櫃","05/02","","28.11","-0.19","-0.67","212","5.95","28.3","28.14","28.14","28.09","0.18","","","    ","    ","    ","    "
"00848B","中信新興亞洲債","櫃","05/02","","34","+0.16","+0.47","107","3.64","33.84","34.05","34.05","34","0.15","","","    ","    ","    ","    "
"00849B","中信EM主權債0-5","櫃","05/02","","35.63","+0.02","+0.06","104","3.69","35.61","35.63","35.68","35.63","0.14","","","    ","    ","    ","    "
"00850","元大臺灣ESG永續","市","05/02","","30.86","+0.14","+0.46","373","11.5","30.72","30.71","30.89","30.7","0.62","","","    ","    ","    ","    "
"00851","台新全球AI","市","05/02","","26.68","+0.27","+1.02","5","0.13","26.41","26.68","26.68","26.68","0","","","    ","    ","    ","    "
"00852L","國泰美國道瓊正2","市","05/02","","19.62","+0.32","+1.66","200","3.92","19.3","19.55","19.62","19.55","0.36","","","    ","    ","    ","    "
"00853B","統一美債10年Aa-A","櫃","05/02","","29.26","-0.28","-0.95","2,696","79.1","29.54","29.54","29.54","29.25","0.98","","","    ","    ","    ","    "
"00856B","永豐1-3年美公債","櫃","05/02","","37.52","+0.06","+0.16","102","3.84","37.46","37.47","37.52","37.47","0.13","","","    ","    ","    ","    "
"00857B","永豐20年美公債","櫃","05/02","","27.95","-0.14","-0.5","1,174","32.8","28.09","28","28","27.94","0.21","","","    ","    ","    ","    "
"00858","永豐美國500大","櫃","05/02","","25.94","+0.21","+0.82","177","4.6","25.73","25.83","25.96","25.83","0.51","","","    ","    ","    ","    "
"00859B","群益0-1年美債","櫃","05/02","","39.52","+0.05","+0.13","101","3.98","39.47","39.52","39.52","39.52","0","","","    ","    ","    ","    "
"00860B","群益1-5年IG債","櫃","05/02","","37.27","+0.03","+0.08","101","3.77","37.24","37.27","37.27","37.27","0","","","    ","    ","    ","    "
"00861","元大全球未來通訊","市","05/02","","28.07","+0.23","+0.83","144","4.04","27.84","28.02","28.12","28.02","0.36","","","    ","    ","    ","    "
"00862B","中信投資級公司債","櫃","05/02","","31.78","-0.27","-0.84","608","19.3","32.05","32","32","31.76","0.75","","","    ","    ","    ","    "
"00863B","中信全球電信債","櫃","05/02","","32.58","-0.25","-0.76","170","5.54","32.83","32.81","32.81","32.58","0.7","","","    ","    ","    ","    "
"00864B","中信美國公債0-1","櫃","05/02","","41.19","+0.03","+0.07","238","9.8","41.16","41.2","41.26","41.19","0.17","","","    ","    ","    ","    "
"00865B","國泰US短期公債","市","05/02","","40.83","+0.11","+0.27","130","5.32","40.72","40.86","40.86","40.82","0.1","","","    ","    ","    ","    "
"00867B","新光A-BBB電信債","櫃","05/02","","32.18","+0.03","+0.09","4","0.13","32.15","32.2","32.2","32.15","0.16","","","    ","    ","    ","    "
"00870B","元大15年EM主權債","櫃","05/02","","29.91","-0.03","-0.1","8","0.24","29.94","29.94","29.94","29.91","0.1","","","    ","    ","    ","    "
"00875","國泰網路資安","市","05/02","","24.72","-0.01","-0.04","200","4.93","24.73","24.74","24.74","24.65","0.36","","","    ","    ","    ","    "
"00876","元大全球5G","市","05/02","","26.64","+0.12","+0.45","181","4.83","26.52","26.52","26.69","26.52","0.64","","","    ","    ","    ","    "
"00877","復華中國5G","櫃","05/02","","10.59","+0.05","+0.47","253","2.67","10.54","10.55","10.64","10.54","0.95","","","    ","    ","    ","    "
"00878","國泰永續高股息","市","05/02","","17.68","+0.12","+0.68","47,135","833","17.56","17.58","17.7","17.58","0.68","","","    ","    ","    ","    "
